Instrument_Category, Dataset_ID, Instrument, Dataset, XIC_WideFrac, MS1_TIC_Change_Q2, MS1_TIC_Q2, MS1_Density_Q1, MS1_Density_Q2, MS2_Density_Q1, DS_2A, DS_2B, MS1_2B, P_2A, P_2B, P_2C, SMAQC_Job, Quameter_Job, XIC_FWHM_Q1, XIC_FWHM_Q2, XIC_FWHM_Q3, XIC_Height_Q2, XIC_Height_Q3, XIC_Height_Q4, RT_Duration, RT_TIC_Q1, RT_TIC_Q2, RT_TIC_Q3, RT_TIC_Q4, RT_MS_Q1, RT_MS_Q2, RT_MS_Q3, RT_MS_Q4, RT_MSMS_Q1, RT_MSMS_Q2, RT_MSMS_Q3, RT_MSMS_Q4, MS1_TIC_Change_Q3, MS1_TIC_Change_Q4, MS1_TIC_Q3, MS1_TIC_Q4, MS1_Count, MS1_Freq_Max, MS1_Density_Q3, MS2_Count, MS2_Freq_Max, MS2_Density_Q2, MS2_Density_Q3, MS2_PrecZ_1, MS2_PrecZ_2, MS2_PrecZ_3, MS2_PrecZ_4, MS2_PrecZ_5, MS2_PrecZ_more, MS2_PrecZ_likely_1, MS2_PrecZ_likely_multi, Quameter_Last_Affected, C_1A, C_1B, C_2A, C_2B, C_3A, C_3B, C_4A, C_4B, C_4C, DS_1A, DS_1B, DS_3A, DS_3B, IS_1A, IS_1B, IS_2, IS_3A, IS_3B, IS_3C, MS1_1, MS1_2A, MS1_3A, MS1_3B, MS1_5A, MS1_5B, MS1_5C, MS1_5D, MS2_1, MS2_2, MS2_3, MS2_4A, MS2_4B, MS2_4C, MS2_4D, P_1A, P_1B, P_3, Smaqc_Last_Affected, PSM_Source_Job, year
Orbitrap,477950,LTQ_Orb_2,QC_Shew_16_01-500ng_4a_15Mar16_Falcon_16-01-10,0.29,2.162,2.479,1791,2374,225,432,4322,218840,2513,2243,2036,1291691,2323889,27.591,30.4,37.043,1.937,1.212,4.419,5939.600,0.311,0.096,0.105,0.488,0.253,0.223,0.252,0.272,0.253,0.223,0.252,0.272,1.254,2.102,0.742,0.852,1623,0.316,2714,16230,3.158,354,573,0.128,0.238,0.182,0.053,0.009,0.001,0.006,0.383,3/16/2016 4:20:19 AM,0.000,0.001,24.593,52.779,25.360,25.330,25.980,29.300,25.270,5.734,6.543,1.585,1.125,0,0,817.683,0.008,0.489,0.141,26.857,500.400,125.112,1048600,0.016,0.019,8.372,8.380,79.768,105.300,630,0.032,0.171,0.255,0.295,7.110,-7.113,0.029,3/16/2016 5:08:14 AM,1291690,2016
Orbitrap,477956,LTQ_Orb_2,QC_Shew_16_01-500ng_1b_15Mar16_Falcon_16-01-07,0.30,2.501,3.054,1745,2202,209,398,3984,261340,2887,2634,2348,1291696,2323922,20.892,23.9,31.842,2.287,2.015,4.888,5941.520,0.252,0.085,0.096,0.567,0.241,0.220,0.258,0.281,0.241,0.220,0.258,0.281,1.445,2.029,1.132,0.864,1618,0.325,2604,16176,3.278,318,535,0.122,0.253,0.200,0.050,0.007,0.001,0.007,0.358,3/16/2016 7:15:58 AM,0.000,0.000,22.327,66.511,18.870,18.460,18.490,27.620,18.660,5.900,6.667,1.392,1.053,0,0,817.108,0.022,0.544,0.148,36.968,510.400,150.405,1162300,0.016,0.019,8.219,8.220,67.771,116.600,587,0.025,0.171,0.319,0.339,7.370,-7.366,0.028,3/16/2016 8:08:20 AM,1291695,2016
VOrbitrap,477959,QExactP04,QC_Shew_15_02_2_15Mar16_Arwen_16-01-03,0.32,1.741,NA,1448,1682,220,1625,16707,6321400,17554,15179,11966,1291737,2323934,12.245,13.3,15.136,1.018,1.127,4.378,5999.870,0.391,0.051,0.022,0.537,0.171,0.211,0.337,0.282,0.297,0.209,0.212,0.282,1.095,1.886,2.562,1.115,6255,2.752,1880,40172,8.690,350,499,0.000,0.466,0.399,0.122,0.011,0.002,0.000,0.000,3/16/2016 8:16:15 AM,0.002,0.002,34.618,265.092,12.220,12.970,9.470,9.820,12.920,3.048,4.725,1.926,1.233,1,0,711.369,0.000,0.990,0.206,0.899,1168.000,369.968,1.4228E+07,0.004,0.008,2.173,2.174,74.487,125.800,5682,0.330,0.440,0.509,0.584,11.350,-11.349,0.052,3/16/2016 9:23:55 AM,1291736,2016
VOrbitrap,477960,QExactP04,QC_Shew_15_02_1_15Mar16_Arwen_16-01-03,0.31,1.355,NA,1478,1745,239,1602,16911,5817450,17803,15451,12000,1291761,2323935,12.399,13.4,15.424,0.949,1.144,4.612,5999.750,0.943,0.025,0.011,0.021,0.173,0.216,0.360,0.251,0.297,0.209,0.208,0.286,1.052,1.956,1.426,0.967,6379,2.760,2060,39753,8.715,367,518,0.000,0.475,0.401,0.114,0.010,0.001,0.000,0.000,3/16/2016 8:17:49 AM,0.001,0.002,35.067,265.748,12.240,12.950,9.380,9.540,12.930,2.817,4.768,1.931,1.234,2,0,715.693,0.000,0.987,0.206,0.996,1191.000,318.649,1.3441E+07,0.003,0.008,1.488,1.490,78.100,126.200,5851,0.358,0.449,0.517,0.584,11.550,-11.555,0.052,3/16/2016 9:24:03 AM,1291760,2016
VOrbitrap,477961,QExactP04,QC_Shew_15_02_3_15Mar16_Arwen_16-01-03,0.31,1.951,NA,1440,1663,214,1580,16325,6314450,16949,14604,11482,1291765,2323936,12.335,13.4,15.370,1.004,1.142,4.494,5999.710,0.056,0.109,0.807,0.028,0.173,0.214,0.352,0.261,0.297,0.206,0.209,0.288,1.125,1.887,2.565,1.058,6416,2.753,1876,39770,8.744,345,490,0.000,0.481,0.393,0.115,0.010,0.001,0.000,0.000,3/16/2016 8:18:18 AM,0.001,0.002,33.586,264.100,12.290,13.050,9.680,9.690,13.030,3.014,4.843,1.968,1.238,1,0,706.656,0.000,0.931,0.187,0.926,1152.000,369.447,1.41945E+07,0.004,0.008,2.485,2.486,72.424,126.500,5617,0.312,0.435,0.505,0.569,11.180,-11.185,0.053,3/16/2016 9:24:03 AM,1291764,2016
VOrbitrap,477965,VOrbi05,QC_Shew_TEDDY_01_500ng_HCD-6_9Mar16_Frodo_15-12-12,0.34,1.133,0.984,2434,2657,118,713,7126,1012200,6379,5707,4805,1291715,2323940,20.304,22.4,27.731,1.109,0.989,3.849,6003.440,0.333,0.106,0.121,0.440,0.304,0.189,0.195,0.311,0.304,0.189,0.195,0.312,0.709,4.124,0.371,0.561,1751,0.391,2827,17510,3.931,155,194,0.000,0.287,0.193,0.059,0.015,0.003,0.036,0.408,3/16/2016 8:10:55 AM,0.001,0.002,32.005,107.827,17.480,18.250,13.830,14.680,18.090,4.418,4.603,1.450,1.089,0,0,719.775,0.000,0.950,0.285,0.807,462.900,231.311,2122500,-0.001,0.009,-0.548,-0.547,24.155,33.400,168,0.488,0.407,0.409,0.452,10.800,-10.801,0.090,3/16/2016 9:18:36 AM,1291714,2016
VOrbitrap,477972,VOrbi05,QC_Shew_TEDDY_01_500ng_HCD-end_14Mar16_Frodo_15-12-12,0.32,1.162,0.509,2400,2691,119,751,7505,1051950,7503,6647,5640,1291751,2323947,19.423,21.3,26.388,0.878,0.953,3.875,5998.580,0.323,0.126,0.154,0.397,0.313,0.203,0.209,0.274,0.313,0.203,0.209,0.275,0.800,3.490,0.305,0.547,1873,0.392,3080,18730,3.955,158,199,0.000,0.253,0.226,0.085,0.020,0.004,0.027,0.386,3/16/2016 8:16:43 AM,0.001,0.004,33.534,119.847,16.960,17.840,14.010,14.290,17.780,4.587,4.020,1.444,1.089,1,0,736.889,0.000,1.286,0.448,0.732,451.250,143.202,2303150,0.004,0.011,2.041,2.041,21.921,32.200,168,0.488,0.450,0.458,0.483,11.420,-11.424,0.078,3/16/2016 9:18:39 AM,1291750,2016
VOrbitrap,477976,VOrbi05,QC_Shew_TEDDY_01_500ng_HCD-start-46_9Mar16_Frodo_15-12-12,0.33,1.090,0.935,2430,2640,119,701,7014,1086950,6342,5643,4774,1291755,2323951,20.779,23.0,28.509,1.006,1.009,3.785,6006.960,0.308,0.118,0.129,0.445,0.299,0.190,0.197,0.314,0.298,0.190,0.196,0.315,0.765,4.154,0.290,0.503,1759,0.391,2816,17590,3.945,156,195,0.000,0.284,0.188,0.059,0.014,0.004,0.037,0.414,3/16/2016 8:17:06 AM,0.001,0.003,31.587,109.001,17.660,18.410,13.950,14.710,18.190,4.296,4.809,1.435,1.088,0,1,717.342,0.000,0.930,0.283,0.736,468.150,260.553,2165850,-0.001,0.010,-0.333,-0.332,24.343,33.575,169,0.489,0.399,0.403,0.456,10.780,-10.778,0.092,3/16/2016 9:13:31 AM,1291754,2016
VOrbitrap,477981,VOrbi05,QC_Shew_TEDDY_01_500ng_HCD-99_14Mar16_Frodo_15-12-12,0.32,1.006,0.620,2418,2686,119,763,7629,1157750,7543,6692,5632,1291781,2323956,19.588,21.7,26.386,0.895,1.000,3.845,6001.730,0.323,0.129,0.144,0.405,0.313,0.202,0.208,0.278,0.312,0.202,0.207,0.279,0.674,3.923,0.324,0.468,1870,0.391,3064,18696,3.941,159,199,0.000,0.255,0.225,0.084,0.020,0.004,0.028,0.384,3/16/2016 8:20:56 AM,0.001,0.003,33.919,119.168,17.000,17.840,14.060,14.230,17.740,4.390,4.218,1.449,1.095,0,0,735.144,0.000,1.248,0.433,0.677,453.800,152.288,2366900,0.004,0.010,1.984,1.985,21.269,32.580,169,0.506,0.453,0.446,0.488,11.480,-11.484,0.078,3/16/2016 9:23:53 AM,1291780,2016
Orbitrap,477984,LTQ_Orb_2,QC_Shew_16_01-500ng_2b_15Mar16_Falcon_16-01-08,0.33,2.143,2.742,1718,2314,199,422,4221,224630,2599,2377,2159,1291787,2324006,23.597,25.6,30.589,2.132,1.238,4.201,5939.400,0.322,0.094,0.103,0.482,0.256,0.223,0.249,0.272,0.256,0.223,0.250,0.272,1.247,1.735,0.763,0.738,1632,0.317,2649,16315,3.190,327,549,0.128,0.240,0.179,0.052,0.008,0.001,0.008,0.384,3/16/2016 8:59:58 AM,0.000,0.000,23.773,56.578,22.810,22.840,22.760,27.330,22.740,6.598,6.356,1.461,1.103,0,0,818.442,0.007,0.504,0.128,26.254,520.900,132.368,1080500,0.017,0.020,9.007,9.009,75.374,103.800,603,0.028,0.170,0.272,0.305,7.060,-7.065,0.034,3/16/2016 9:53:15 AM,1291786,2016
